,Unnamed: 0,isEmpty,peek,calledMethod,isEmpty_p,calledMethod_p,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
78,476,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6a66a204""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
79,511,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@5860f3d7""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
80,529,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@42f3156d""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
81,535,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1d7f7be7""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
82,580,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@34a1d21f""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
83,581,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@58bf8650""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
84,592,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""pop""","isEmpty_p == ""True""","calledMethod_p == ""pop""",0,,0,,0,
85,599,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@73c60324""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
86,617,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4e517165""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
87,622,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2cb3d0f7""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
88,627,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6f0ca692""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
89,632,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4e517165""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
90,638,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@44e3760b""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
91,640,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2c104774""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR""",0,,9,"['4', '6', '7', '8', '9', '10', '11', '14', '19']",0,
92,643,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6f0ca692""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
93,653,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@44e3760b""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
94,671,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@71ae31b0""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
95,679,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4ba534b0""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
96,701,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@16f7b4af""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
97,708,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3fc9dfc5""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
98,725,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@40258c2f""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
99,726,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7adf16aa""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
100,745,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2cac4385""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
101,746,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6731787b""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
102,752,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6731787b""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,2,"['13', '22']",0,
103,766,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4275c20c""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,2,"['13', '22']",0,
104,767,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7c56e013""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
105,773,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7c56e013""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop""",0,,5,"['0', '1', '6', '7', '22']",0,
106,775,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7c56e013""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,0,,0,
107,794,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4275c20c""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
108,811,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7c56e013""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
109,828,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@77602954""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,2,"['13', '22']",0,
110,830,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@e260766""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,2,"['13', '22']",0,
111,832,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@34a97744""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,2,"['13', '22']",0,
112,841,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@e260766""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
113,876,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2c3dec30""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
114,909,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@64df9a61""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
115,924,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@38f57b3d""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
116,933,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@5ef0d29e""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
117,946,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@51850751""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
118,954,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3ce3db41""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop""",0,,5,"['0', '1', '6', '7', '22']",0,
119,961,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@376a312c""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
120,972,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6ca0256d""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
121,977,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1de5f0ef""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,2,"['13', '22']",0,
122,979,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@376a312c""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,2,"['13', '22']",0,
123,1010,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@58e6d4b8""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
124,1018,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@28d6290""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
125,1019,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@58e6d4b8""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,0,,0,
126,1026,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@63192798""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
127,1032,"isEmpty == ""false""","peek == ""nan""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,2,"['13', '22']",0,
128,1042,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@50eca7c6""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR""",0,,9,"['4', '6', '7', '8', '9', '10', '11', '14', '19']",0,
129,1052,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3e8f7922""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,2,"['13', '22']",0,
130,1054,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3e8f7922""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,0,,0,
131,1055,"isEmpty == ""false""","peek == ""1.0""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""pop""",0,,0,,0,
132,1058,"isEmpty == ""false""","peek == ""class java.lang.String""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
133,1067,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3e8f7922""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push""",0,,6,"['2', '5', '13', '15', '16', '17']",0,
134,1072,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@63192798""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
135,1079,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2b491fee""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
136,1120,"isEmpty == ""false""","peek == ""-1.0""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear""",0,,4,"['3', '6', '7', '20']",0,
