,isEmpty,peek,calledMethod,isEmpty_p,calledMethod_p
40,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6b85300e""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
42,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@5cbf9e9f""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
44,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""pop""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
45,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""CTOR""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
46,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@5a2f016d""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
53,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3aaf4f07""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
55,"isEmpty == ""false""","peek == ""-1.0""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
59,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@18e8473e""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
68,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1a38ba58""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
102,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3ad394e6""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
104,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2c22a348""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
113,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6831d8fd""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
114,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@27dc79f7""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
116,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@51b01960""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
139,"isEmpty == ""false""","peek == ""10""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
140,"isEmpty == ""false""","peek == ""100""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
141,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6831d8fd""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
145,"isEmpty == ""false""","peek == ""10""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
146,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@74d7184a""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
160,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7bd69e82""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
169,"isEmpty == ""false""","peek == ""1.0""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
193,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1e392345""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
208,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3fabf088""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
210,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@12f3afb5""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
211,"isEmpty == ""false""","peek == ""class java.lang.Byte""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
214,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4ced35ed""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
221,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1e392345""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
227,"isEmpty == ""false""","peek == ""0""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
239,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4d4d8fcf""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
250,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@610db97e""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
257,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@610db97e""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
273,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3abd581e""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
286,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6f0628de""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
288,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@33c2bd""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
290,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3c321bdb""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
292,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@24855019""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
298,"isEmpty == ""false""","peek == ""0""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
299,"isEmpty == ""false""","peek == ""10""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
333,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3c321bdb""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
344,"isEmpty == ""false""","peek == ""0""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
354,"isEmpty == ""false""","peek == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
355,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1dfd5f51""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
370,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@33a2499c""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
372,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""clear""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
411,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@ea27e34""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
413,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@e72dba7""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
415,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@10b3df93""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
420,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3704122f""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
425,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3f2049b6""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
438,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@28a2a3e7""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
442,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7577b641""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
455,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3f2049b6""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
457,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@60afd40d""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
471,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3153ddfc""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
481,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3704122f""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
483,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3153ddfc""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
490,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4d0402b""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
500,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2fa7ae9""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
510,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@182b435b""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
527,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4d0402b""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
533,"isEmpty == ""false""","peek == ""true""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
534,"isEmpty == ""false""","peek == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
535,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2fa7ae9""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
541,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4d0402b""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
555,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1bc53649""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
564,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@475b7792""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
576,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@47d93e0d""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
583,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@88d6f9b""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
585,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@751e664e""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
593,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@512d92b""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
596,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7bdf6bb7""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
599,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@160c3ec1""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
606,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7bdf6bb7""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
613,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@62c5bbdc""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
630,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@40e4ea87""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
640,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3c8bdd5b""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
650,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@58783f6c""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
652,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@51c929ae""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
659,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@58783f6c""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
667,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3a7b503d""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
668,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@58783f6c""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
677,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@29d2d081""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
683,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@255990cc""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
689,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3228d990""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
700,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3228d990""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
705,"isEmpty == ""false""","peek == ""1""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
706,"isEmpty == ""false""","peek == ""10.0""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
707,"isEmpty == ""false""","peek == ""10""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
715,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@54e7391d""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
727,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6d1310f6""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
731,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@50b8ae8d""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
733,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@255990cc""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
768,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4d157787""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
774,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@436390f4""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
777,"isEmpty == ""false""","peek == ""0.0""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
778,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@68ed96ca""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
787,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6ebd78d1""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
799,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4d157787""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
800,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6ebd78d1""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
801,"isEmpty == ""true""","peek == ""EmptyObject""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""pop"""
806,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1af7f54a""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
812,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2c444798""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
834,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7728643a""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
836,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@733037""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
837,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1cfd1875""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
842,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@5167268""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
855,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1cfd1875""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
857,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@320e400""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
870,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@28c0b664""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
881,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@5949eba8""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
887,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@58dea0a5""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
889,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2d0566ba""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
891,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3c291aad""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
898,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2d0566ba""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
903,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2a2bb0eb""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
923,"isEmpty == ""false""","peek == ""hi!""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
924,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6e0ff644""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
925,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2a2bb0eb""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
926,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@6e0ff644""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
940,"isEmpty == ""false""","peek == ""hi!""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
963,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@c074c0c""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
965,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@58a55449""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
972,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7048f722""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
979,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2024293c""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
988,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2d8f2f3a""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
997,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2024293c""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
1015,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2024293c""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
1018,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@4cc61eb1""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
1029,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2d8f2f3a""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
1039,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@c8b96ec""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
1057,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@588ab592""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
1062,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@21680803""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
1068,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3e2fc448""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
1074,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@238b521e""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
1084,"isEmpty == ""false""","peek == ""100""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
1085,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1b39fd82""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
1098,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1b39fd82""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
1153,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1c807b1d""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
1154,"isEmpty == ""false""","peek == ""1.0""","calledMethod == ""pop""","isEmpty_p == ""False""","calledMethod_p == ""push"""
1159,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3a80515c""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
1176,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@547e29a4""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
1194,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@7cd1ac19""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
1202,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@46cf05f7""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
1216,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@5851bd4f""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
1218,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2f40a43""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
1227,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@3caa4757""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
1228,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@69c43e48""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
1240,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@69c43e48""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""CTOR"""
1259,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1804f60d""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
1266,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@1d572e62""","calledMethod == ""push""","isEmpty_p == ""False""","calledMethod_p == ""push"""
1271,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@2b46a8c1""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""clear"""
1273,"isEmpty == ""false""","peek == ""experiment.drivers.AlejaStackTestDriver@29caf222""","calledMethod == ""push""","isEmpty_p == ""True""","calledMethod_p == ""pop"""
